Date,Rise,Set,DayLength,,
20/07/09,05:23,21:39,16:16,,
21/07/09,05:24,21:38,16:13,,
22/07/09,05:26,21:36,16:11,,
23/07/09,05:27,21:35,16:08,,
24/07/09,05:29,21:33,16:05,,
25/07/09,05:30,21:32,16:02,,
26/07/09,05:32,21:30,15:59,,
27/07/09,05:33,21:29,15:55,,
28/07/09,05:35,21:27,15:52,,
29/07/09,05:37,21:25,15:49,,
30/07/09,05:38,21:24,15:46,,
31/07/09,05:40,21:22,15:42,,
01/08/09,05:41,21:20,15:39,,
02/08/09,05:43,21:18,15:35,,
03/08/09,05:45,21:17,15:32,,
04/08/09,05:46,21:15,15:28,,
05/08/09,05:48,21:13,15:25,,
06/08/09,05:50,21:11,15:21,,
07/08/09,05:51,21:09,15:18,,
08/08/09,05:53,21:07,15:14,,
09/08/09,05:55,21:05,15:10,,
10/08/09,05:57,21:03,15:07,,
11/08/09,05:58,21:01,15:03,,
12/08/09,06:00,20:59,14:59,,
13/08/09,06:02,20:57,14:55,,
14/08/09,06:03,20:55,14:51,,
15/08/09,06:05,20:53,14:48,,
16/08/09,06:07,20:51,14:44,,
17/08/09,06:09,20:48,14:40,,
18/08/09,06:10,20:46,14:36,,
19/08/09,06:12,20:44,14:32,,
20/08/09,06:14,20:42,14:28,,
21/08/09,06:15,20:40,14:24,,
22/08/09,06:17,20:37,14:20,,
23/08/09,06:19,20:35,14:16,,
24/08/09,06:21,20:33,14:12,,
25/08/09,06:22,20:31,14:08,,
26/08/09,06:24,20:28,14:04,,
27/08/09,06:26,20:26,14:00,,
28/08/09,06:28,20:24,13:56,,
29/08/09,06:29,20:21,13:52,,
30/08/09,06:31,20:19,13:48,,
31/08/09,06:33,20:17,13:44,,
01/09/09,06:35,20:14,13:40,,
02/09/09,06:36,20:12,13:36,,
03/09/09,06:38,20:10,13:31,,
04/09/09,06:40,20:07,13:27,,
05/09/09,06:41,20:05,13:23,,
06/09/09,06:43,20:02,13:19,,
07/09/09,06:45,20:00,13:15,,
08/09/09,06:47,19:58,13:11,,
09/09/09,06:48,19:55,13:07,,
10/09/09,06:50,19:53,13:03,,
11/09/09,06:52,19:50,12:58,,
12/09/09,06:54,19:48,12:54,,
13/09/09,06:55,19:45,12:50,,
14/09/09,06:57,19:43,12:46,,
15/09/09,06:59,19:41,12:42,,
16/09/09,07:01,19:38,12:38,,
17/09/09,07:02,19:36,12:33,,
18/09/09,07:04,19:33,12:29,,
19/09/09,07:06,19:31,12:25,,
20/09/09,07:07,19:28,12:21,,
21/09/09,07:09,19:26,12:17,,
22/09/09,07:11,19:23,12:13,,
23/09/09,07:13,19:21,12:08,,
24/09/09,07:14,19:19,12:04,,
25/09/09,07:16,19:16,12:00,,
26/09/09,07:18,19:14,11:56,,
27/09/09,07:20,19:11,11:52,,
