Date,Rise,Set,DayLength
20/07/09,05:34,21:50,16:16
21/07/09,05:36,21:49,16:13
22/07/09,05:37,21:47,16:10
23/07/09,05:39,21:46,16:07
24/07/09,05:40,21:44,16:04
25/07/09,05:42,21:43,16:01
26/07/09,05:43,21:41,15:58
27/07/09,05:45,21:40,15:55
28/07/09,05:46,21:38,15:51
29/07/09,05:48,21:36,15:48
30/07/09,05:50,21:35,15:45
31/07/09,05:51,21:33,15:42
01/08/09,05:53,21:31,15:38
02/08/09,05:55,21:29,15:35
03/08/09,05:56,21:27,15:31
04/08/09,05:58,21:26,15:28
05/08/09,05:59,21:24,15:24
06/08/09,06:01,21:22,15:21
07/08/09,06:03,21:20,15:17
08/08/09,06:05,21:18,15:13
09/08/09,06:06,21:16,15:10
10/08/09,06:08,21:14,15:06
11/08/09,06:10,21:12,15:02
12/08/09,06:11,21:10,14:59
13/08/09,06:13,21:08,14:55
14/08/09,06:15,21:06,14:51
15/08/09,06:16,21:04,14:47
16/08/09,06:18,21:02,14:43
17/08/09,06:20,20:59,14:39
18/08/09,06:22,20:57,14:36
19/08/09,06:23,20:55,14:32
20/08/09,06:25,20:53,14:28
21/08/09,06:27,20:51,14:24
22/08/09,06:29,20:48,14:20
23/08/09,06:30,20:46,14:16
24/08/09,06:32,20:44,14:12
25/08/09,06:34,20:42,14:08
26/08/09,06:35,20:39,14:04
27/08/09,06:37,20:37,14:00
28/08/09,06:39,20:35,13:56
29/08/09,06:41,20:32,13:52
30/08/09,06:42,20:30,13:48
31/08/09,06:44,20:28,13:43
01/09/09,06:46,20:25,13:39
02/09/09,06:48,20:23,13:35
03/09/09,06:49,20:21,13:31
04/09/09,06:51,20:18,13:27
05/09/09,06:53,20:16,13:23
06/09/09,06:54,20:13,13:19
07/09/09,06:56,20:11,13:15
08/09/09,06:58,20:09,13:11
09/09/09,07:00,20:06,13:07
10/09/09,07:01,20:04,13:02
11/09/09,07:03,20:01,12:58
12/09/09,07:05,19:59,12:54
13/09/09,07:07,19:56,12:50
14/09/09,07:08,19:54,12:46
15/09/09,07:10,19:52,12:42
16/09/09,07:12,19:49,12:37
17/09/09,07:13,19:47,12:33
18/09/09,07:15,19:44,12:29
19/09/09,07:17,19:42,12:25
20/09/09,07:19,19:39,12:21
21/09/09,07:20,19:37,12:17
22/09/09,07:22,19:35,12:12
23/09/09,07:24,19:32,12:08
24/09/09,07:26,19:30,12:04
25/09/09,07:27,19:27,12:00
26/09/09,07:29,19:25,11:56
27/09/09,07:31,19:22,11:52
28/09/09,07:33,19:20,11:47
29/09/09,07:34,19:18,11:43
30/09/09,07:36,19:15,11:39
01/10/09,07:38,19:13,11:35
02/10/09,07:40,19:10,11:31
03/10/09,07:41,19:08,11:27
04/10/09,07:43,19:06,11:22
05/10/09,07:45,19:03,11:18
06/10/09,07:47,19:01,11:14
07/10/09,07:49,18:58,11:10
08/10/09,07:50,18:56,11:06
09/10/09,07:52,18:54,11:02
10/10/09,07:54,18:51,10:58
11/10/09,07:56,18:49,10:53
12/10/09,07:58,18:47,10:49
13/10/09,07:59,18:45,10:45
14/10/09,08:01,18:42,10:41
15/10/09,08:03,18:40,10:37
16/10/09,08:05,18:38,10:33
17/10/09,08:07,18:35,10:29
18/10/09,08:09,18:33,10:25
19/10/09,08:10,18:31,10:21
20/10/09,08:12,18:29,10:17
21/10/09,08:14,18:27,10:13
22/10/09,08:16,18:24,10:08
23/10/09,08:18,18:22,10:04
24/10/09,08:20,18:20,10:00
25/10/09,07:22,17:18,09:56
26/10/09,07:24,17:16,09:53
27/10/09,07:25,17:14,09:49
28/10/09,07:27,17:12,09:45
29/10/09,07:29,17:10,09:41
30/10/09,07:31,17:08,09:37
31/10/09,07:33,17:06,09:33
01/11/09,07:35,17:04,09:29
02/11/09,07:37,17:02,09:25
03/11/09,07:39,17:00,09:22
04/11/09,07:41,16:58,09:18
05/11/09,07:42,16:56,09:14
06/11/09,07:44,16:55,09:10
07/11/09,07:46,16:53,09:07
08/11/09,07:48,16:51,09:03
09/11/09,07:50,16:49,08:59
10/11/09,07:52,16:48,08:56
11/11/09,07:54,16:46,08:52
12/11/09,07:56,16:45,08:49
13/11/09,07:57,16:43,08:45
14/11/09,07:59,16:41,08:42
15/11/09,08:01,16:40,08:39
16/11/09,08:03,16:38,08:35
17/11/09,08:05,16:37,08:32
18/11/09,08:07,16:36,08:29
19/11/09,08:08,16:34,08:26
20/11/09,08:10,16:33,08:23
21/11/09,08:12,16:32,08:20
22/11/09,08:14,16:31,08:17
23/11/09,08:15,16:29,08:14
24/11/09,08:17,16:28,08:11
25/11/09,08:19,16:27,08:09
26/11/09,08:20,16:26,08:06
27/11/09,08:22,16:25,08:03
28/11/09,08:24,16:24,08:01
29/11/09,08:25,16:24,07:58
30/11/09,08:27,16:23,07:56
01/12/09,08:28,16:22,07:54
02/12/09,08:30,16:21,07:52
03/12/09,08:31,16:21,07:50
04/12/09,08:32,16:20,07:48
05/12/09,08:34,16:20,07:46
06/12/09,08:35,16:19,07:44
07/12/09,08:36,16:19,07:42
08/12/09,08:38,16:18,07:41
09/12/09,08:39,16:18,07:39
10/12/09,08:40,16:18,07:38
11/12/09,08:41,16:18,07:37
12/12/09,08:42,16:18,07:36
13/12/09,08:43,16:18,07:35
14/12/09,08:44,16:18,07:34
15/12/09,08:45,16:18,07:33
16/12/09,08:46,16:18,07:32
17/12/09,08:47,16:18,07:32
18/12/09,08:47,16:18,07:31
19/12/09,08:48,16:19,07:31
20/12/09,08:48,16:19,07:31
21/12/09,08:49,16:20,07:31
22/12/09,08:50,16:20,07:31
23/12/09,08:50,16:21,07:31
24/12/09,08:50,16:21,07:31
25/12/09,08:51,16:22,07:31
26/12/09,08:51,16:23,07:32
27/12/09,08:51,16:24,07:33
28/12/09,08:51,16:25,07:33
29/12/09,08:51,16:26,07:34
30/12/09,08:51,16:27,07:35
31/12/09,08:51,16:28,07:36
01/01/10,08:51,16:29,07:37
02/01/10,08:51,16:30,07:39
03/01/10,08:51,16:31,07:40
04/01/10,08:50,16:32,07:42
05/01/10,08:50,16:33,07:43
06/01/10,08:50,16:35,07:45
07/01/10,08:49,16:36,07:47
08/01/10,08:49,16:37,07:49
09/01/10,08:48,16:39,07:51
10/01/10,08:47,16:40,07:53
11/01/10,08:47,16:42,07:55
12/01/10,08:46,16:43,07:58
13/01/10,08:45,16:45,08:00
14/01/10,08:44,16:47,08:02
15/01/10,08:43,16:48,08:05
16/01/10,08:42,16:50,08:08
17/01/10,08:41,16:52,08:10
18/01/10,08:40,16:53,08:13
19/01/10,08:39,16:55,08:16
20/01/10,08:38,16:57,08:19
21/01/10,08:37,16:59,08:22
22/01/10,08:36,17:01,08:25
23/01/10,08:34,17:02,08:28
24/01/10,08:33,17:04,08:31
25/01/10,08:32,17:06,08:35
26/01/10,08:30,17:08,08:38
27/01/10,08:29,17:10,08:41
28/01/10,08:27,17:12,08:45
29/01/10,08:26,17:14,08:48
30/01/10,08:24,17:16,08:52
31/01/10,08:22,17:18,08:55
01/02/10,08:21,17:19,08:59
02/02/10,08:19,17:21,09:02
03/02/10,08:17,17:23,09:06
04/02/10,08:16,17:25,09:10
05/02/10,08:14,17:27,09:13
06/02/10,08:12,17:29,09:17
07/02/10,08:10,17:31,09:21
08/02/10,08:08,17:33,09:25
09/02/10,08:06,17:35,09:29
10/02/10,08:05,17:37,09:33
11/02/10,08:03,17:39,09:36
12/02/10,08:01,17:41,09:40
13/02/10,07:59,17:43,09:44
14/02/10,07:57,17:45,09:48
15/02/10,07:55,17:47,09:52
16/02/10,07:52,17:49,09:56
17/02/10,07:50,17:51,10:00
18/02/10,07:48,17:53,10:04
19/02/10,07:46,17:55,10:09
20/02/10,07:44,17:57,10:13
21/02/10,07:42,17:59,10:17
22/02/10,07:40,18:01,10:21
23/02/10,07:38,18:02,10:25
24/02/10,07:35,18:04,10:29
25/02/10,07:33,18:06,10:33
26/02/10,07:31,18:08,10:37
27/02/10,07:29,18:10,10:42
28/02/10,07:26,18:12,10:46
01/03/10,07:24,18:14,10:50
02/03/10,07:22,18:16,10:54
03/03/10,07:19,18:18,10:58
04/03/10,07:17,18:20,11:02
05/03/10,07:15,18:22,11:07
06/03/10,07:13,18:23,11:11
07/03/10,07:10,18:25,11:15
08/03/10,07:08,18:27,11:19
09/03/10,07:05,18:29,11:24
10/03/10,07:03,18:31,11:28
11/03/10,07:01,18:33,11:32
12/03/10,06:58,18:35,11:36
13/03/10,06:56,18:36,11:40
14/03/10,06:54,18:38,11:45
15/03/10,06:51,18:40,11:49
16/03/10,06:49,18:42,11:53
17/03/10,06:46,18:44,11:57
18/03/10,06:44,18:46,12:02
19/03/10,06:42,18:47,12:06
20/03/10,06:39,18:49,12:10
21/03/10,06:37,18:51,12:14
22/03/10,06:34,18:53,12:19
23/03/10,06:32,18:55,12:23
24/03/10,06:30,18:57,12:27
25/03/10,06:27,18:58,12:31
26/03/10,06:25,19:00,12:35
27/03/10,06:22,19:02,12:40
28/03/10,07:20,20:04,12:44
29/03/10,07:17,20:06,12:48
30/03/10,07:15,20:07,12:52
31/03/10,07:13,20:09,12:57
01/04/10,07:10,20:11,13:01
02/04/10,07:08,20:13,13:05
03/04/10,07:05,20:15,13:09
04/04/10,07:03,20:16,13:13
05/04/10,07:01,20:18,13:18
06/04/10,06:58,20:20,13:22
07/04/10,06:56,20:22,13:26
08/04/10,06:54,20:24,13:30
09/04/10,06:51,20:26,13:34
10/04/10,06:49,20:27,13:38
11/04/10,06:47,20:29,13:43
12/04/10,06:44,20:31,13:47
13/04/10,06:42,20:33,13:51
14/04/10,06:40,20:35,13:55
15/04/10,06:37,20:36,13:59
16/04/10,06:35,20:38,14:03
17/04/10,06:33,20:40,14:07
18/04/10,06:31,20:42,14:11
19/04/10,06:28,20:44,14:15
20/04/10,06:26,20:45,14:19
21/04/10,06:24,20:47,14:23
22/04/10,06:22,20:49,14:27
23/04/10,06:19,20:51,14:31
24/04/10,06:17,20:53,14:35
25/04/10,06:15,20:54,14:39
26/04/10,06:13,20:56,14:43
27/04/10,06:11,20:58,14:47
28/04/10,06:09,21:00,14:51
29/04/10,06:07,21:02,14:55
