"ID","Q41","Q42","Q43","Q44","Q45","Q46","Q47"
1002,0,0,0,1,0,0,0
1003,0,0,0,1,0,0,0
1004,0,0,1,0,0,0,0
1005,0,0,0,1,0,0,0
1008,0,0,0,1,0,0,0
1013,0,0,1,0,0,0,0
1015,1,0,1,0,0,0,0
1017,0,0,1,0,0,0,0
1018,0,0,0,1,0,0,0
1020,0,0,1,0,0,0,0
1022,0,0,0,1,0,0,0
1024,0,0,0,1,0,0,0
1025,0,0,0,1,0,0,0
1027,0,0,0,1,0,0,0
1029,0,0,1,0,0,0,0
1031,0,0,0,1,1,0,0
1032,0,0,1,0,0,0,0
1033,0,0,0,1,0,0,0
1034,0,0,0,1,1,0,0
1036,0,1,1,0,0,0,0
1039,0,0,0,1,1,0,0
1041,0,0,0,1,0,0,0
1042,0,0,1,0,0,0,0
1043,0,1,0,1,0,0,0
1044,0,0,0,1,0,0,0
1045,0,0,1,0,0,0,0
1046,0,0,0,1,0,0,0
1047,0,0,0,0,1,0,0
1048,1,0,0,0,0,0,0
1049,1,0,0,0,0,0,0
1051,0,0,0,1,0,0,0
1052,0,0,1,0,0,0,0
1053,0,0,0,1,0,0,0
1054,0,0,1,0,0,0,0
1055,0,0,0,1,0,0,0
1057,0,0,0,1,0,0,0
1058,0,0,1,0,0,0,0
1059,0,0,0,1,0,0,0
1060,0,0,0,1,1,0,0
1061,0,0,0,1,0,0,0
1062,0,0,0,0,1,0,0
1064,0,0,0,0,1,0,0
1065,0,0,0,1,0,0,0
1067,0,0,0,1,1,0,0
1069,0,0,0,1,0,0,0
1072,0,0,0,1,0,0,0
1073,0,0,0,1,0,0,0
1075,0,0,0,1,0,0,0
1076,0,0,0,1,0,0,0
1077,0,0,0,1,0,0,0
1078,0,0,0,1,1,0,0
1079,0,0,0,1,0,0,0
1081,0,0,1,0,0,0,0
1082,0,0,0,1,0,0,0
1083,0,0,0,1,0,0,0
1086,0,0,1,0,0,0,0
1089,0,0,0,1,0,0,0
1091,0,1,1,0,0,0,0
1092,0,0,0,1,0,0,0
1093,0,0,0,1,0,0,0
1094,0,0,1,0,0,0,0
1096,0,0,0,1,0,0,0
1097,0,0,0,1,1,0,0
1098,0,0,1,0,0,0,0
1099,0,0,0,0,1,0,0
1100,0,0,1,0,0,0,0
1102,0,0,0,1,0,0,0
1106,0,0,1,0,0,0,0
1107,0,0,0,0,1,0,0
1108,0,0,0,1,0,0,0
1109,0,0,0,1,0,0,0
1110,1,0,0,1,0,0,0
1112,0,0,0,1,0,0,0
1115,0,0,1,0,0,0,0
1120,0,0,1,0,0,0,0
1121,0,0,0,1,0,0,0
1122,0,0,1,0,0,0,0
1123,0,0,1,0,0,0,0
