Date,Holiday
20-Jul-09,0
21-Jul-09,0
22-Jul-09,0
23-Jul-09,0
24-Jul-09,0
25-Jul-09,0
26-Jul-09,0
27-Jul-09,0
28-Jul-09,0
29-Jul-09,0
30-Jul-09,0
31-Jul-09,0
1-Aug-09,0
2-Aug-09,0
3-Aug-09,1
4-Aug-09,0
5-Aug-09,0
6-Aug-09,0
7-Aug-09,0
8-Aug-09,0
9-Aug-09,0
10-Aug-09,0
11-Aug-09,0
12-Aug-09,0
13-Aug-09,0
14-Aug-09,0
15-Aug-09,0
16-Aug-09,0
17-Aug-09,0
18-Aug-09,0
19-Aug-09,0
20-Aug-09,0
21-Aug-09,0
22-Aug-09,0
23-Aug-09,0
24-Aug-09,0
25-Aug-09,0
26-Aug-09,0
27-Aug-09,0
28-Aug-09,0
29-Aug-09,0
30-Aug-09,0
31-Aug-09,0
1-Sep-09,0
2-Sep-09,0
3-Sep-09,0
4-Sep-09,0
5-Sep-09,0
6-Sep-09,0
7-Sep-09,0
8-Sep-09,0
9-Sep-09,0
10-Sep-09,0
11-Sep-09,0
12-Sep-09,0
13-Sep-09,0
14-Sep-09,0
15-Sep-09,0
16-Sep-09,0
17-Sep-09,0
18-Sep-09,0
19-Sep-09,0
20-Sep-09,0
21-Sep-09,0
22-Sep-09,0
23-Sep-09,0
24-Sep-09,0
25-Sep-09,0
26-Sep-09,0
27-Sep-09,0
28-Sep-09,0
29-Sep-09,0
30-Sep-09,0
1-Oct-09,0
2-Oct-09,0
3-Oct-09,0
4-Oct-09,0
5-Oct-09,0
6-Oct-09,0
7-Oct-09,0
8-Oct-09,0
9-Oct-09,0
10-Oct-09,0
11-Oct-09,0
12-Oct-09,0
13-Oct-09,0
14-Oct-09,0
15-Oct-09,0
16-Oct-09,0
17-Oct-09,0
18-Oct-09,0
19-Oct-09,0
20-Oct-09,0
21-Oct-09,0
22-Oct-09,0
23-Oct-09,0
24-Oct-09,0
25-Oct-09,0
26-Oct-09,1
27-Oct-09,0
28-Oct-09,0
29-Oct-09,0
30-Oct-09,0
31-Oct-09,0
1-Nov-09,0
2-Nov-09,0
3-Nov-09,0
4-Nov-09,0
5-Nov-09,0
6-Nov-09,0
7-Nov-09,0
8-Nov-09,0
9-Nov-09,0
10-Nov-09,0
11-Nov-09,0
12-Nov-09,0
13-Nov-09,0
14-Nov-09,0
15-Nov-09,0
16-Nov-09,0
17-Nov-09,0
18-Nov-09,0
19-Nov-09,0
20-Nov-09,0
21-Nov-09,0
22-Nov-09,0
23-Nov-09,0
24-Nov-09,0
25-Nov-09,0
26-Nov-09,0
27-Nov-09,0
28-Nov-09,0
29-Nov-09,0
30-Nov-09,0
1-Dec-09,0
2-Dec-09,0
3-Dec-09,0
4-Dec-09,0
5-Dec-09,0
6-Dec-09,0
7-Dec-09,0
8-Dec-09,0
9-Dec-09,0
10-Dec-09,0
11-Dec-09,0
12-Dec-09,0
13-Dec-09,0
14-Dec-09,0
15-Dec-09,0
16-Dec-09,0
17-Dec-09,0
18-Dec-09,0
19-Dec-09,0
20-Dec-09,0
21-Dec-09,0
22-Dec-09,0
23-Dec-09,0
24-Dec-09,1
25-Dec-09,1
26-Dec-09,1
27-Dec-09,0
28-Dec-09,0
29-Dec-09,0
30-Dec-09,0
31-Dec-09,1
1-Jan-10,1
2-Jan-10,0
3-Jan-10,0
4-Jan-10,0
5-Jan-10,0
6-Jan-10,0
7-Jan-10,0
8-Jan-10,0
9-Jan-10,0
10-Jan-10,0
11-Jan-10,0
12-Jan-10,0
13-Jan-10,0
14-Jan-10,0
15-Jan-10,0
16-Jan-10,0
17-Jan-10,0
18-Jan-10,0
19-Jan-10,0
20-Jan-10,0
21-Jan-10,0
22-Jan-10,0
23-Jan-10,0
24-Jan-10,0
25-Jan-10,0
26-Jan-10,0
27-Jan-10,0
28-Jan-10,0
29-Jan-10,0
30-Jan-10,0
31-Jan-10,0
1-Feb-10,0
2-Feb-10,0
3-Feb-10,0
4-Feb-10,0
5-Feb-10,0
6-Feb-10,0
7-Feb-10,0
8-Feb-10,0
9-Feb-10,0
10-Feb-10,0
11-Feb-10,0
12-Feb-10,0
13-Feb-10,0
14-Feb-10,0
15-Feb-10,0
16-Feb-10,0
17-Feb-10,0
18-Feb-10,0
19-Feb-10,0
20-Feb-10,0
21-Feb-10,0
22-Feb-10,0
23-Feb-10,0
24-Feb-10,0
25-Feb-10,0
26-Feb-10,0
27-Feb-10,0
28-Feb-10,0
1-Mar-10,0
2-Mar-10,0
3-Mar-10,0
4-Mar-10,0
5-Mar-10,0
6-Mar-10,0
7-Mar-10,0
8-Mar-10,0
9-Mar-10,0
10-Mar-10,0
11-Mar-10,0
12-Mar-10,0
13-Mar-10,0
14-Mar-10,0
15-Mar-10,0
16-Mar-10,0
17-Mar-10,1
18-Mar-10,0
19-Mar-10,0
20-Mar-10,0
21-Mar-10,0
22-Mar-10,0
23-Mar-10,0
24-Mar-10,0
25-Mar-10,0
26-Mar-10,0
27-Mar-10,0
28-Mar-10,0
29-Mar-10,0
30-Mar-10,0
31-Mar-10,0
1-Apr-10,0
2-Apr-10,1
3-Apr-10,0
4-Apr-10,1
5-Apr-10,1
6-Apr-10,0
7-Apr-10,0
8-Apr-10,0
9-Apr-10,0
10-Apr-10,0
11-Apr-10,0
12-Apr-10,0
13-Apr-10,0
14-Apr-10,0
15-Apr-10,0
16-Apr-10,0
17-Apr-10,0
18-Apr-10,0
19-Apr-10,0
20-Apr-10,0
21-Apr-10,0
22-Apr-10,0
23-Apr-10,0
24-Apr-10,0
25-Apr-10,0
26-Apr-10,0
27-Apr-10,0
28-Apr-10,0
29-Apr-10,0
30-Apr-10,0
1-May-10,0
2-May-10,0
3-May-10,1
4-May-10,0
5-May-10,0
6-May-10,0
7-May-10,0
8-May-10,0
9-May-10,0
10-May-10,0
11-May-10,0
12-May-10,0
13-May-10,0
14-May-10,0
15-May-10,0
16-May-10,0
17-May-10,0
18-May-10,0
19-May-10,0
20-May-10,0
21-May-10,0
22-May-10,0
23-May-10,0
24-May-10,0
25-May-10,0
26-May-10,0
27-May-10,0
28-May-10,0
29-May-10,0
30-May-10,0
31-May-10,0
1-Jun-10,0
2-Jun-10,0
3-Jun-10,0
4-Jun-10,0
5-Jun-10,0
6-Jun-10,0
7-Jun-10,1
8-Jun-10,0
9-Jun-10,0
10-Jun-10,0
11-Jun-10,0
12-Jun-10,0
13-Jun-10,0
14-Jun-10,0
15-Jun-10,0
16-Jun-10,0
17-Jun-10,0
18-Jun-10,0
19-Jun-10,0
20-Jun-10,0
21-Jun-10,0
22-Jun-10,0
23-Jun-10,0
24-Jun-10,0
25-Jun-10,0
26-Jun-10,0
27-Jun-10,0
28-Jun-10,0
29-Jun-10,0
30-Jun-10,0
1-Jul-10,0
2-Jul-10,0
3-Jul-10,0
4-Jul-10,0
5-Jul-10,0
6-Jul-10,0
7-Jul-10,0
8-Jul-10,0
9-Jul-10,0
10-Jul-10,0
11-Jul-10,0
12-Jul-10,0
13-Jul-10,0
14-Jul-10,0
15-Jul-10,0
16-Jul-10,0
17-Jul-10,0
18-Jul-10,0
19-Jul-10,0
20-Jul-10,0
21-Jul-10,0
22-Jul-10,0
23-Jul-10,0
24-Jul-10,0
25-Jul-10,0
26-Jul-10,0
27-Jul-10,0
28-Jul-10,0
29-Jul-10,0
30-Jul-10,0
31-Jul-10,0
1-Aug-10,0
2-Aug-10,1
3-Aug-10,0
4-Aug-10,0
5-Aug-10,0
6-Aug-10,0
7-Aug-10,0
8-Aug-10,0
9-Aug-10,0
10-Aug-10,0
11-Aug-10,0
12-Aug-10,0
13-Aug-10,0
14-Aug-10,0
15-Aug-10,0
16-Aug-10,0
17-Aug-10,0
18-Aug-10,0
19-Aug-10,0
20-Aug-10,0
21-Aug-10,0
22-Aug-10,0
23-Aug-10,0
24-Aug-10,0
25-Aug-10,0
26-Aug-10,0
27-Aug-10,0
28-Aug-10,0
29-Aug-10,0
30-Aug-10,0
